# ltrace -x '*' -o ltrace.txt -f -S -s 1024 ./squashfs-root/usr/bin/magick identify -define video:pixel-format='canary123' example.mov
4064738 SYS_mmap(0x78e67b60c000, 8192, 3, 2066)                                                                       = 0x78e67b60c000
4064738 SYS_mmap(0x78e67b60e000, 4096, 3, 2066)                                                                       = 0x78e67b60e000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2bd0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b29b0, 448, 0x32000)                                                                    = 448
4064738 SYS_fstat(3, 0x7ffda43b2ca0)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2a40, 448, 0x32000)                                                                    = 448
4064738 SYS_mmap(0, 0x433968, 0, 2082)                                                                                = 0x78e67ae00000
4064738 SYS_mmap(0x78e67ae00000, 0x233968, 5, 2066)                                                                   = 0x78e67ae00000
4064738 SYS_munmap(0x78e67b034000, 2095464)                                                                           = 0
4064738 SYS_mprotect(0x78e67ae31000, 2101248, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67b030000, 8192, 3, 2066)                                                                       = 0x78e67b030000
4064738 SYS_mmap(0x78e67b032000, 8192, 3, 2066)                                                                       = 0x78e67b032000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2bb0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001\003", 832)                                                                   = 832
4064738 SYS_pread(3, 0x7ffda43b2960, 504, 0x18d000)                                                                   = 504
4064738 SYS_fstat(3, 0x7ffda43b2c80)                                                                                  = 0
4064738 SYS_mmap(0, 8192, 3, 34)                                                                                      = 0x78e67ef7d000
4064738 SYS_pread(3, 0x7ffda43b29f0, 504, 0x18d000)                                                                   = 504
4064738 SYS_mmap(0, 0x5af400, 0, 2082)                                                                                = 0x78e67a800000
4064738 SYS_mmap(0x78e67a800000, 0x3af400, 5, 2066)                                                                   = 0x78e67a800000
4064738 SYS_munmap(0x78e67abb0000, 2094080)                                                                           = 0
4064738 SYS_mprotect(0x78e67a987000, 2142208, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67ab86000, 0x6000, 3, 2066)                                                                     = 0x78e67ab86000
4064738 SYS_mmap(0x78e67ab8c000, 0x5e88, 3, 50)                                                                       = 0x78e67ab8c000
4064738 SYS_mmap(0x78e67ab92000, 0x1e000, 3, 2066)                                                                    = 0x78e67ab92000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2b90, 0x80000, 0)                                                            = -2
4064738 SYS_openat(0xffffff9c, 0x78e67ef7d530, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_fstat(3, 0x7ffda43b2c60)                                                                                  = 0
4064738 SYS_mmap(0, 0x50288, 1, 2050)                                                                                 = 0x78e67ef2c000
4064738 SYS_mmap(0x78e67ef34000, 0x2f000, 5, 2066)                                                                    = 0x78e67ef34000
4064738 SYS_mmap(0x78e67ef63000, 0x17000, 1, 2066)                                                                    = 0x78e67ef63000
4064738 SYS_mmap(0x78e67ef7a000, 0x3000, 3, 2066)                                                                     = 0x78e67ef7a000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2b70, 0x80000, 0)                                                            = -2
4064738 SYS_openat(0xffffff9c, 0x78e67ef7da80, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_fstat(3, 0x7ffda43b2c40)                                                                                  = 0
4064738 SYS_mmap(0, 0xcb010, 1, 2050)                                                                                 = 0x78e67ee60000
4064738 SYS_mmap(0x78e67ee6d000, 0x91000, 5, 2066)                                                                    = 0x78e67ee6d000
4064738 SYS_mmap(0x78e67eefe000, 0x26000, 1, 2066)                                                                    = 0x78e67eefe000
4064738 SYS_mmap(0x78e67ef24000, 0x8000, 3, 2066)                                                                     = 0x78e67ef24000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2b50, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2930, 448, 0x8b000)                                                                    = 448
4064738 SYS_fstat(3, 0x7ffda43b2c20)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b29c0, 448, 0x8b000)                                                                    = 448
4064738 SYS_mmap(0, 0x4916d0, 0, 2082)                                                                                = 0x78e67a200000
4064738 SYS_mmap(0x78e67a200000, 0x2916d0, 5, 2066)                                                                   = 0x78e67a200000
4064738 SYS_munmap(0x78e67a492000, 2094800)                                                                           = 0
4064738 SYS_mprotect(0x78e67a287000, 2113536, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67a486000, 0x5000, 3, 2066)                                                                     = 0x78e67a486000
4064738 SYS_mmap(0x78e67a48b000, 0x7000, 3, 2066)                                                                     = 0x78e67a48b000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2b30, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2910, 448, 0xa000)                                                                     = 448
4064738 SYS_fstat(3, 0x7ffda43b2c00)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b29a0, 448, 0xa000)                                                                     = 448
4064738 SYS_mmap(0, 0x40a870, 0, 2082)                                                                                = 0x78e679c00000
4064738 SYS_mmap(0x78e679c00000, 0x20a870, 5, 2066)                                                                   = 0x78e679c00000
4064738 SYS_munmap(0x78e679e0b000, 2095216)                                                                           = 0
4064738 SYS_mprotect(0x78e679c09000, 2101248, 0)                                                                      = 0
4064738 SYS_mmap(0x78e679e08000, 8192, 3, 2066)                                                                       = 0x78e679e08000
4064738 SYS_mmap(0x78e679e0a000, 4096, 3, 2066)                                                                       = 0x78e679e0a000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2b10, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b28f0, 448, 0x5000)                                                                     = 448
4064738 SYS_fstat(3, 0x7ffda43b2be0)                                                                                  = 0
4064738 SYS_mmap(0, 8192, 3, 34)                                                                                      = 0x78e67ee5e000
4064738 SYS_pread(3, 0x7ffda43b2980, 448, 0x5000)                                                                     = 448
4064738 SYS_mmap(0, 0x4056b0, 0, 2082)                                                                                = 0x78e679600000
4064738 SYS_mmap(0x78e679600000, 0x2056b0, 5, 2066)                                                                   = 0x78e679600000
4064738 SYS_munmap(0x78e679806000, 2094768)                                                                           = 0
4064738 SYS_mprotect(0x78e679603000, 2105344, 0)                                                                      = 0
4064738 SYS_mmap(0x78e679803000, 8192, 3, 2066)                                                                       = 0x78e679803000
4064738 SYS_mmap(0x78e679805000, 4096, 3, 2066)                                                                       = 0x78e679805000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2af0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b28d0, 448, 0x67000)                                                                    = 448
4064738 SYS_fstat(3, 0x7ffda43b2bc0)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2960, 448, 0x67000)                                                                    = 448
4064738 SYS_mmap(0, 0x469bc0, 0, 2082)                                                                                = 0x78e679000000
4064738 SYS_mmap(0x78e679000000, 0x269bc0, 5, 2066)                                                                   = 0x78e679000000
4064738 SYS_munmap(0x78e67926a000, 2096064)                                                                           = 0
4064738 SYS_mprotect(0x78e679066000, 2109440, 0)                                                                      = 0
4064738 SYS_mmap(0x78e679265000, 8192, 3, 2066)                                                                       = 0x78e679265000
4064738 SYS_mmap(0x78e679267000, 4472, 3, 50)                                                                         = 0x78e679267000
4064738 SYS_mmap(0x78e679269000, 4096, 3, 2066)                                                                       = 0x78e679269000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2ad0, 0x80000, 0)                                                            = -2
4064738 SYS_openat(0xffffff9c, 0x78e67ee5e5b0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_fstat(3, 0x7ffda43b2ba0)                                                                                  = 0
4064738 SYS_mmap(0, 0x13cd28, 1, 2050)                                                                                = 0x78e67ed21000
4064738 SYS_mmap(0x78e67ed3a000, 0x90000, 5, 2066)                                                                    = 0x78e67ed3a000
4064738 SYS_mmap(0x78e67edca000, 0x8f000, 1, 2066)                                                                    = 0x78e67edca000
